2023-11-01 02:31:24 status triggers-pending ca-certificates:all 20230311
2023-11-01 02:31:24 configure libaprutil1-ldap:amd64 1.6.3-1 <none>
2023-11-01 02:31:24 status unpacked libaprutil1-ldap:amd64 1.6.3-1
2023-11-01 02:31:24 status half-configured libaprutil1-ldap:amd64 1.6.3-1
2023-11-01 02:31:24 status installed libaprutil1-ldap:amd64 1.6.3-1
2023-11-01 02:31:24 trigproc libc-bin:amd64 2.36-9+deb12u3 <none>
2023-11-01 02:31:24 status half-configured libc-bin:amd64 2.36-9+deb12u3
2023-11-01 02:31:25 status installed libc-bin:amd64 2.36-9+deb12u3
2023-11-01 02:31:25 trigproc ca-certificates:all 20230311 <none>
2023-11-01 02:31:25 status half-configured ca-certificates:all 20230311
2023-11-01 02:31:25 status installed ca-certificates:all 20230311
2023-11-01 02:31:37 startup archives unpack
2023-11-01 02:31:37 install perl-modules-5.36:all <none> 5.36.0-7
2023-11-01 02:31:37 status half-installed perl-modules-5.36:all 5.36.0-7
2023-11-01 02:31:37 status unpacked perl-modules-5.36:all 5.36.0-7
2023-11-01 02:31:37 install libgdbm-compat4:amd64 <none> 1.23-3
2023-11-01 02:31:37 status triggers-pending libc-bin:amd64 2.36-9+deb12u3
2023-11-01 02:31:37 status half-installed libgdbm-compat4:amd64 1.23-3
2023-11-01 02:31:37 status unpacked libgdbm-compat4:amd64 1.23-3
2023-11-01 02:31:37 install libperl5.36:amd64 <none> 5.36.0-7
2023-11-01 02:31:37 status half-installed libperl5.36:amd64 5.36.0-7
2023-11-01 02:31:38 status unpacked libperl5.36:amd64 5.36.0-7
2023-11-01 02:31:38 install perl:amd64 <none> 5.36.0-7
2023-11-01 02:31:38 status half-installed perl:amd64 5.36.0-7
2023-11-01 02:31:38 status unpacked perl:amd64 5.36.0-7
2023-11-01 02:31:38 install libpython3.11-minimal:amd64 <none> 3.11.2-6
2023-11-01 02:31:38 status half-installed libpython3.11-minimal:amd64 3.11.2-6
2023-11-01 02:31:38 status unpacked libpython3.11-minimal:amd64 3.11.2-6
2023-11-01 02:31:38 install python3.11-minimal:amd64 <none> 3.11.2-6
2023-11-01 02:31:38 status half-installed python3.11-minimal:amd64 3.11.2-6
2023-11-01 02:31:38 status unpacked python3.11-minimal:amd64 3.11.2-6
2023-11-01 02:31:38 startup packages configure
2023-11-01 02:31:38 configure libpython3.11-minimal:amd64 3.11.2-6 <none>
2023-11-01 02:31:38 status unpacked libpython3.11-minimal:amd64 3.11.2-6
2023-11-01 02:31:38 status half-configured libpython3.11-minimal:amd64 3.11.2-6
2023-11-01 02:31:38 status installed libpython3.11-minimal:amd64 3.11.2-6
2023-11-01 02:31:38 configure python3.11-minimal:amd64 3.11.2-6 <none>
2023-11-01 02:31:38 status unpacked python3.11-minimal:amd64 3.11.2-6
2023-11-01 02:31:38 status half-configured python3.11-minimal:amd64 3.11.2-6
2023-11-01 02:31:39 status installed python3.11-minimal:amd64 3.11.2-6
2023-11-01 02:31:39 startup archives unpack
2023-11-01 02:31:39 install python3-minimal:amd64 <none> 3.11.2-1+b1
2023-11-01 02:31:39 status half-installed python3-minimal:amd64 3.11.2-1+b1
2023-11-01 02:31:39 status unpacked python3-minimal:amd64 3.11.2-1+b1
2023-11-01 02:31:39 install media-types:all <none> 10.0.0
2023-11-01 02:31:39 status half-installed media-types:all 10.0.0
2023-11-01 02:31:39 status unpacked media-types:all 10.0.0
2023-11-01 02:31:39 install libncursesw6:amd64 <none> 6.4-4
2023-11-01 02:31:39 status half-installed libncursesw6:amd64 6.4-4
2023-11-01 02:31:39 status unpacked libncursesw6:amd64 6.4-4
2023-11-01 02:31:39 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u1
2023-11-01 02:31:39 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u1
2023-11-01 02:31:39 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u1
